timestamp,server_id,cpu_used,q_len,network_in,network_out
1,Server 0,0,0,0,0
1,Server 1,0,0,0,0
1,Server 2,0,0,0,0
2,Server 0,41,1,9,8
2,Server 1,46,1,15,13
2,Server 2,0,0,0,0
3,Server 0,41,1,9,8
3,Server 1,46,1,15,13
3,Server 2,42,1,5,6
4,Server 0,41,1,9,8
4,Server 1,46,1,15,13
4,Server 2,42,1,5,6
5,Server 0,41,1,9,8
5,Server 1,46,1,15,13
5,Server 2,42,1,5,6
6,Server 0,41,1,9,8
6,Server 1,46,1,15,13
6,Server 2,42,1,5,6
7,Server 0,41,1,9,8
7,Server 1,46,1,15,13
7,Server 2,42,1,5,6
8,Server 0,41,1,9,8
8,Server 1,84,1,13,11
8,Server 2,42,1,5,6
9,Server 0,41,1,9,8
9,Server 1,84,1,13,11
9,Server 2,42,1,5,6
10,Server 0,78,1,5,13
10,Server 1,84,1,13,11
10,Server 2,42,1,5,6
11,Server 0,78,1,5,13
11,Server 1,84,1,13,11
11,Server 2,57,1,5,7
12,Server 0,78,1,5,13
12,Server 1,84,1,13,11
12,Server 2,57,1,5,7
13,Server 0,78,1,5,13
13,Server 1,84,1,13,11
13,Server 2,57,1,5,7
14,Server 0,78,1,5,13
14,Server 1,84,1,13,11
14,Server 2,57,1,5,7
15,Server 0,78,1,5,13
15,Server 1,84,1,13,11
15,Server 2,57,1,5,7
16,Server 0,78,1,5,13
16,Server 1,46,1,10,10
16,Server 2,57,1,5,7
17,Server 0,78,1,5,13
17,Server 1,46,1,10,10
17,Server 2,57,1,5,7
18,Server 0,49,1,8,10
18,Server 1,46,1,10,10
18,Server 2,57,1,5,7
19,Server 0,49,1,8,10
19,Server 1,46,1,10,10
19,Server 2,57,1,5,7
20,Server 0,49,1,8,10
20,Server 1,46,1,10,10
20,Server 2,57,1,5,7
21,Server 0,49,1,8,10
21,Server 1,46,1,10,10
21,Server 2,57,1,5,7
22,Server 0,49,1,8,10
22,Server 1,46,1,10,10
22,Server 2,42,1,12,13
23,Server 0,49,1,8,10
23,Server 1,46,1,10,10
23,Server 2,42,1,12,13
24,Server 0,64,1,6,13
24,Server 1,46,1,10,10
24,Server 2,42,1,12,13
25,Server 0,64,1,6,13
25,Server 1,46,1,10,10
25,Server 2,42,1,12,13
26,Server 0,64,1,6,13
26,Server 1,46,1,10,10
26,Server 2,42,1,12,13
27,Server 0,64,1,6,13
27,Server 1,46,1,10,10
27,Server 2,42,1,12,13
28,Server 0,64,1,6,13
28,Server 1,46,1,10,10
28,Server 2,42,1,15,8
29,Server 0,64,1,6,13
29,Server 1,46,1,10,10
29,Server 2,42,1,15,8
30,Server 0,64,1,6,13
30,Server 1,79,1,10,14
30,Server 2,42,1,15,8
31,Server 0,64,1,6,13
31,Server 1,79,1,10,14
31,Server 2,42,1,15,8
32,Server 0,64,1,6,13
32,Server 1,79,1,10,14
32,Server 2,42,1,15,8
33,Server 0,54,1,6,11
33,Server 1,79,1,10,14
33,Server 2,42,1,15,8
34,Server 0,54,1,6,11
34,Server 1,79,1,10,14
34,Server 2,42,1,15,8
35,Server 0,54,1,6,11
35,Server 1,79,1,10,14
35,Server 2,42,1,15,8
36,Server 0,54,1,6,11
36,Server 1,79,1,10,14
36,Server 2,42,1,15,8
37,Server 0,54,1,6,11
37,Server 1,79,1,10,14
37,Server 2,57,1,15,15
38,Server 0,54,1,6,11
38,Server 1,63,1,7,10
38,Server 2,57,1,15,15
39,Server 0,54,1,6,11
39,Server 1,63,1,7,10
39,Server 2,57,1,15,15
40,Server 0,54,1,6,11
40,Server 1,63,1,7,10
40,Server 2,57,1,15,15
41,Server 0,54,1,6,11
41,Server 1,63,1,7,10
41,Server 2,57,1,15,15
42,Server 0,50,1,13,8
42,Server 1,63,1,7,10
42,Server 2,57,1,15,15
43,Server 0,50,1,13,8
43,Server 1,63,1,7,10
43,Server 2,89,1,5,8
44,Server 0,50,1,13,8
44,Server 1,63,1,7,10
44,Server 2,89,1,5,8
45,Server 0,50,1,13,8
45,Server 1,63,1,7,10
45,Server 2,89,1,5,8
46,Server 0,50,1,13,8
46,Server 1,63,1,7,10
46,Server 2,89,1,5,8
47,Server 0,50,1,13,8
47,Server 1,63,1,7,10
47,Server 2,89,1,5,8
48,Server 0,50,1,13,8
48,Server 1,57,1,15,13
48,Server 2,81,1,12,7
49,Server 0,65,1,9,6
49,Server 1,57,1,15,13
49,Server 2,81,1,12,7
50,Server 0,65,1,9,6
50,Server 1,57,1,15,13
50,Server 2,81,1,12,7
51,Server 0,65,1,9,6
51,Server 1,57,1,15,13
51,Server 2,81,1,12,7
52,Server 0,65,1,9,6
52,Server 1,57,1,15,13
52,Server 2,81,1,12,7
53,Server 0,65,1,9,6
53,Server 1,57,1,15,13
53,Server 2,81,1,12,7
54,Server 0,65,1,9,6
54,Server 1,57,1,15,13
54,Server 2,81,1,12,7
55,Server 0,65,1,9,6
55,Server 1,57,1,15,13
55,Server 2,81,1,12,7
56,Server 0,65,1,9,6
56,Server 1,76,1,10,8
56,Server 2,81,1,12,7
57,Server 0,87,1,13,13
57,Server 1,76,1,10,8
57,Server 2,48,1,13,12
58,Server 0,87,1,13,13
58,Server 1,76,1,10,8
58,Server 2,48,1,13,12
59,Server 0,87,1,13,13
59,Server 1,76,1,10,8
59,Server 2,48,1,13,12
60,Server 0,87,1,13,13
60,Server 1,76,1,10,8
60,Server 2,48,1,13,12
61,Server 0,87,1,13,13
61,Server 1,76,1,10,8
61,Server 2,48,1,13,12
62,Server 0,87,1,13,13
62,Server 1,76,1,10,8
62,Server 2,48,1,13,12
63,Server 0,87,1,13,13
63,Server 1,76,1,10,8
63,Server 2,69,1,13,9
64,Server 0,87,1,13,13
64,Server 1,76,1,10,8
64,Server 2,69,1,13,9
65,Server 0,87,1,13,13
